Year,Day,DOY,Hour,Irradiance,Temp,Rain,Wind,Rel_hum,SD
1999,192,192,21,207.36,23.9,0,1.4,72.6,8.11560151
1999,192,192,22,0,22.2,0,1,76.4,6.307335203
1999,192,192,23,0,21,0,0.8,77.5,5.587978726
1999,193,193,0,0,20.1,0,0.8,78.7,5.004499025
1999,193,193,1,0,18.6,0,0.8,84.7,3.274491218
1999,193,193,2,0,17.3,0,0.8,90.6,1.853826862
1999,193,193,3,0,16.6,0,0.8,94.1,1.113067125
1999,193,193,4,0,15.9,0,0.8,96.9,0.559309899
1999,193,193,5,0,15.4,0,0.9,97.9,0.366946346
1999,193,193,6,60.48,15.9,0,1,96.9,0.559309899
1999,193,193,7,345.6,16.4,0,0.8,96,0.74508106
